Time,Angle
53.612,3.12
53.613,3.12
53.617,3.12
53.619,3.12
53.622,3.12
53.625,3.12
53.661,3.12
53.661,3.11
53.663,3.11
53.667,3.10
53.681,3.09
53.688,3.09
53.723,3.09
53.725,3.09
53.728,3.09
53.730,3.09
53.740,3.09
53.749,3.09
53.784,3.08
53.787,3.07
53.792,3.07
53.793,3.06
53.801,3.05
53.840,3.05
53.842,3.05
53.845,3.05
53.847,3.05
53.852,3.05
53.863,3.05
53.895,3.05
53.895,3.05
53.898,3.04
53.904,3.03
54.144,3.02
54.145,3.02
54.147,3.01
54.154,3.01
54.154,3.01
54.154,3.01
54.154,3.01
54.154,3.01
54.154,3.01
54.224,3.01
54.224,3.00
54.225,3.00
54.225,3.00
54.225,3.00
54.225,3.00
54.227,3.00
54.237,3.00
54.326,3.00
54.326,3.00
54.402,2.99
54.402,2.99
54.403,2.99
54.403,2.99
54.403,2.99
54.403,2.99
54.403,2.99
54.414,2.96
54.489,2.96
54.491,2.96
54.491,2.96
54.493,2.95
54.501,2.95
54.502,2.94
54.502,2.92
54.502,2.91
54.505,2.90
54.605,2.88
54.620,2.87
54.621,2.87
54.621,2.87
54.621,2.87
54.621,2.87
54.621,2.87
54.670,2.83
54.670,2.82
54.673,2.80
54.674,2.79
54.675,2.77
54.680,2.75
54.684,2.74
54.685,2.73
54.687,2.73
54.697,2.72
54.733,2.71
54.733,2.70
54.735,2.69
54.740,2.67
54.749,2.66
54.758,2.64
54.781,2.62
54.796,2.61
54.800,2.59
54.803,2.58
54.809,2.57
54.822,2.56
54.880,2.55
54.881,2.54
54.882,2.53
54.888,2.51
54.978,2.50
54.978,2.48
54.978,2.47
54.980,2.45
54.985,2.44
55.144,2.43
55.144,2.42
55.144,2.41
55.144,2.40
55.144,2.39
55.145,2.35
55.147,2.34
55.151,2.33
55.152,2.32
55.152,2.31
55.152,2.31
55.152,2.30
55.152,2.30
55.227,2.23
55.227,2.22
55.229,2.22
55.236,2.22
55.241,2.22
55.243,2.22
55.245,2.21
55.245,2.20
55.247,2.19
55.282,2.18
55.296,2.17
55.299,2.17
55.301,2.16
55.306,2.16
55.307,2.16
55.317,2.16
55.334,2.16
55.337,2.16
55.349,2.15
55.358,2.15
55.414,2.14
55.416,2.13
55.418,2.11
55.424,2.10
55.425,2.10
55.425,2.09
55.431,2.09
55.502,2.09
55.503,2.09
55.505,2.09
55.505,2.08
55.511,2.07
55.512,2.06
55.512,2.05
55.513,2.04
55.524,2.03
55.595,2.02
55.607,2.01
55.609,2.01
55.624,2.01
55.642,2.00
55.642,1.99
55.642,1.99
55.642,1.98
55.642,1.96
55.642,1.95
55.644,1.94
55.648,1.92
55.658,1.91
55.670,1.91
55.681,1.90
55.691,1.89
55.699,1.88
55.711,1.87
55.721,1.86
55.732,1.85
55.741,1.83
55.797,1.81
56.016,1.80
56.018,1.79
56.024,1.78
56.028,1.77
56.028,1.76
56.028,1.75
56.028,1.73
56.028,1.72
56.036,1.35
56.069,1.34
56.070,1.32
56.072,1.30
56.078,1.27
56.087,1.24
56.126,1.21
56.127,1.18
56.130,1.15
56.132,1.12
56.139,1.09
56.149,1.06
56.188,1.04
56.189,1.01
56.192,0.99
56.193,0.96
56.200,0.93
56.211,0.89
56.249,0.85
56.250,0.82
56.252,0.77
56.257,0.74
56.263,0.70
56.274,0.66
56.305,0.63
56.306,0.60
56.308,0.56
56.314,0.53
56.326,0.49
56.365,0.45
56.366,0.41
56.368,0.36
56.377,0.31
56.384,0.27
56.390,0.22
56.426,0.18
56.427,0.14
56.431,0.10
56.433,0.06
56.439,0.02
56.450,359.97
56.489,359.92
56.490,359.88
56.492,359.82
56.495,359.77
56.501,359.72
56.511,359.66
56.544,359.62
56.545,359.57
56.547,359.52
56.554,359.48
56.564,359.43
56.613,359.38
56.614,359.33
56.618,359.27
56.620,359.22
56.622,359.16
56.627,359.11
56.637,359.05
56.665,358.99
56.666,358.94
56.668,358.89
56.679,358.84
56.688,358.78
56.727,358.73
56.730,358.68
56.731,358.61
56.734,358.56
56.741,358.49
56.791,358.44
56.792,358.38
56.793,358.32
56.797,358.27
56.888,358.21
56.889,358.15
56.889,358.10
56.890,358.04
56.960,357.98
56.960,357.92
56.960,357.86
56.960,357.80
56.960,357.74
56.960,357.55
57.045,357.50
57.045,357.44
57.048,357.38
57.048,357.32
57.048,357.27
57.048,357.20
57.058,356.71
57.068,356.65
57.113,356.59
57.119,356.53
57.130,356.46
57.165,356.40
57.166,356.34
57.166,356.28
57.167,356.23
57.168,356.17
57.174,356.12
57.177,356.06
57.181,356.00
57.222,355.95
57.223,355.88
57.228,355.83
57.231,355.77
57.234,355.70
57.245,355.64
57.287,355.58
57.289,355.53
57.302,355.47
57.347,355.41
57.348,355.35
57.351,355.30
57.351,355.24
57.351,355.18
57.351,355.12
57.362,354.97
57.375,354.92
57.382,354.85
57.394,354.80
57.403,354.73
57.412,354.68
57.423,354.62
57.433,354.55
57.443,354.50
57.454,354.43
57.465,354.37
57.474,354.31
57.486,354.25
57.504,354.19
57.509,354.13
57.517,354.08
57.527,354.01
57.537,353.96
57.548,353.90
57.558,353.83
57.570,353.77
57.579,353.71
57.589,353.65
57.600,353.59
57.611,353.53
57.621,353.48
57.633,353.42
57.671,353.36
57.673,353.30
57.676,353.24
57.677,353.18
57.685,353.12
