 [CUBESAT]: Time: 5095 | Angle 10.65° | Setpoint: 0 | Dc= 0.00
 [CUBESAT]: Time: 5108 | Angle 10.65° | Setpoint: 0 | Dc= 0.00
 [CUBESAT]: Time: 5122 | Angle 10.65° | Setpoint: 0 | Dc= 0.00
 [CUBESAT]: Time: 5136 | Angle 10.64° | Setpoint: 0 | Dc= 0.00
 [CUBESAT]: Time: 5149 | Angle 10.65° | Setpoint: 0 | Dc= 0.00
 [CUBESAT]: Time: 5162 | Angle 10.65° | Setpoint: 0 | Dc= 0.00
 [CUBESAT]: Time: 5175 | Angle 10.65° | Setpoint: 0 | Dc= 0.00
 [CUBESAT]: Time: 5188 | Angle 10.65° | Setpoint: 0 | Dc= 0.00
 [CUBESAT]: Time: 5204 | Angle 10.65° | Setpoint: 0 | Dc= 0.00
 4
 [CUBESAT]: Time: 5218 | Angle 10.65° | Setpoint: 0 | Dc= 0.00
 [CUBESAT]: Time: 5232 | Angle 10.65° | Setpoint: 0 | Dc= 0.00
 [CUBESAT]: Time: 5245 | Angle 10.65° | Setpoint: 0 | Dc= 0.00
 [CUBESAT]: Time: 5258 | Angle 10.65° | Setpoint: 0 | Dc= 0.00
 [CUBESAT]: Time: 5271 | Angle 10.65° | Setpoint: 0 | Dc= 0.00
 [CUBESAT]: Time: 5289 | Angle 10.65° | Setpoint: 0 | Dc= 0.40
 [CUBESAT]: Time: 5303 | Angle 10.64° | Setpoint: 0 | Dc= 0.40
 [CUBESAT]: Time: 5317 | Angle 10.62° | Setpoint: 0 | Dc= 0.40
 [CUBESAT]: Time: 5330 | Angle 10.60° | Setpoint: 0 | Dc= 0.40
 [CUBESAT]: Time: 5343 | Angle 10.56° | Setpoint: 0 | Dc= 0.40
 [CUBESAT]: Time: 5356 | Angle 10.50° | Setpoint: 0 | Dc= 0.40
 [CUBESAT]: Time: 5369 | Angle 10.45° | Setpoint: 0 | Dc= 0.40
 [CUBESAT]: Time: 5383 | Angle 10.36° | Setpoint: 0 | Dc= 0.40
 [CUBESAT]: Time: 5397 | Angle 10.28° | Setpoint: 0 | Dc= 0.40
 [CUBESAT]: Time: 5410 | Angle 10.17° | Setpoint: 0 | Dc= 0.40
 [CUBESAT]: Time: 5423 | Angle 10.07° | Setpoint: 0 | Dc= 0.40
 [CUBESAT]: Time: 5436 | Angle 9.97° | Setpoint: 0 | Dc= 0.40
 [CUBESAT]: Time: 5449 | Angle 9.84° | Setpoint: 0 | Dc= 0.40
 [CUBESAT]: Time: 5465 | Angle 9.69° | Setpoint: 0 | Dc= 0.40
 [CUBESAT]: Time: 5479 | Angle 9.54° | Setpoint: 0 | Dc= 0.40
