Time,Angle,Setpoint,Dc
9664,-0.34,0,0.00
9584,-0.35,0,0.00
9597,-0.35,0,0.00
9608,-0.35,0,0.00
9619,-0.34,0,0.00
9630,-0.34,0,0.00
9641,-0.34,0,0.00
9652,-0.34,0,0.00
9679,-0.34,0,0.00
9697,-0.34,0,0.00
9710,-0.34,0,0.00
9723,-0.34,0,0.00
9735,-0.34,0,0.00
9748,-0.34,0,0.00
9760,-0.34,0,0.00
9770,-0.34,0,0.00
9780,-0.34,0,0.00
9790,-0.34,0,0.00
9800,-0.34,0,0.00
9810,-0.34,0,0.00
9820,-0.34,0,0.00
9830,-0.34,0,0.00
9844,-0.34,0,0.00
9857,-0.34,0,0.00
9869,-0.34,0,0.00
9882,-0.34,0,0.00
9893,-0.34,0,0.00
9903,-0.34,0,0.00
9913,-0.34,0,0.00
9925,-0.34,0,0.00
9941,-0.34,0,0.00
9955,-0.34,0,0.00
9968,-0.34,0,0.00
9981,-0.34,0,0.00
9994,-0.34,0,0.00
10007,-0.34,0,0.00
10021,-0.34,0,0.00
10035,-0.34,0,0.00
10049,-0.34,0,0.00
10063,-0.34,0,0.00
10076,-0.34,0,0.00
10089,-0.34,0,0.00
10105,-0.34,0,0.00
10119,-0.34,0,0.00
10133,-0.34,0,0.00
10146,-0.34,0,0.00
10159,-0.34,0,0.00
10172,-0.34,0,0.00
10187,-0.34,0,0.00
10201,-0.34,0,0.00
10215,-0.34,0,0.00
10228,-0.34,0,0.00
10241,-0.34,0,0.00
10254,-0.34,0,0.00
10268,-0.34,0,0.00
10282,-0.34,0,0.00
10296,-0.34,0,0.00
10310,-0.34,0,0.00
10323,-0.34,0,0.00
10336,-0.34,0,0.00
10349,-0.34,0,0.00
10362,-0.34,0,0.00
10375,-0.34,0,0.00
10388,-0.34,0,0.00
10399,-0.34,0,0.00
10409,-0.34,0,0.00
10419,-0.34,0,0.00
10429,-0.34,0,0.00
10439,-0.34,0,0.00
10449,-0.34,0,0.00
10459,-0.34,0,0.00
10469,-0.34,0,0.00
10479,-0.34,0,0.00
10489,-0.34,0,0.00
10499,-0.34,0,0.00
10509,-0.34,0,0.00
10522,-0.34,0,0.00
10536,-0.34,0,0.00
10549,-0.34,0,0.00
10560,-0.34,0,0.00
10570,-0.34,0,0.00
10580,-0.34,0,0.00
10590,-0.34,0,0.00
10600,-0.34,0,0.00
10615,-0.34,0,0.00
10631,-0.34,0,0.00
10645,-0.34,0,0.00
10658,-0.34,0,0.00
10671,-0.34,0,0.00
10684,-0.34,0,0.00
10698,-0.34,0,0.00
10712,-0.34,0,0.00
10725,-0.34,0,0.00
10738,-0.34,0,0.00
10751,-0.34,0,0.00
10764,-0.34,0,0.00
10778,-0.34,0,0.00
10793,-0.34,0,0.00
10806,-0.34,0,0.00
10819,-0.34,0,0.00
10832,-0.34,0,0.00
10845,-0.34,0,0.00
10858,-0.34,0,0.00
10872,-0.34,0,0.00
10886,-0.34,0,0.00
10900,-0.34,0,0.00
10913,-0.34,0,0.00
10926,-0.34,0,0.00
10939,-0.34,0,0.00
10955,-0.34,0,0.00
10969,-0.34,0,0.00
10983,-0.34,0,0.00
10996,-0.34,0,0.00
11009,-0.34,0,0.00
11022,-0.34,0,0.00
11035,-0.34,0,0.00
11049,-0.34,0,0.00
11063,-0.34,0,0.00
11077,-0.34,0,0.00
11090,-0.34,0,0.00
11103,-0.34,0,0.00
11116,-0.34,0,0.00
11131,-0.34,0,0.00
11145,-0.34,0,0.00
11158,-0.34,0,0.00
11171,-0.34,0,0.00
11184,-0.34,0,0.00
11197,-0.34,0,0.00
11210,-0.34,0,0.00
11223,-0.34,0,0.00
11236,-0.34,0,0.00
11247,-0.34,0,0.00
11257,-0.34,0,0.00
11267,-0.34,0,0.00
11277,-0.34,0,0.00
11287,-0.34,0,0.00
11297,-0.34,0,0.00
11307,-0.34,0,0.00
11317,-0.34,0,0.00
11327,-0.34,0,0.00
11337,-0.34,0,0.00
11347,-0.34,0,0.00
11357,-0.34,0,0.00
11367,-0.34,0,0.00
11377,-0.34,0,0.00
11391,-0.34,0,0.00
11408,-0.34,0,0.00
11422,-0.34,0,0.00
11435,-0.34,0,0.00
11448,-0.34,0,0.00
11461,-0.34,0,0.00
11477,-0.34,0,0.00
11491,-0.34,0,0.00
11504,-0.34,0,0.00
11515,-0.34,0,0.00
11525,-0.34,0,0.00
11535,-0.34,0,0.00
11545,-0.34,0,0.00
11555,-0.34,0,0.00
11565,-0.34,0,0.00
11585,-0.34,0,0.00
11602,-0.34,0,0.00
11616,-0.34,0,0.00
11630,-0.34,0,0.00
11643,-0.34,0,0.00
11657,-0.34,0,0.00
11671,-0.34,0,0.00
11685,-0.34,0,0.00
11698,-0.34,0,0.00
11711,-0.34,0,0.00
11726,-0.34,0,0.00
11740,-0.34,0,0.00
11753,-0.33,0,0.00
11766,-0.34,0,0.00
11780,-0.34,0,0.00
11794,-0.34,0,0.00
11808,-0.34,0,0.00
11821,-0.34,0,0.00
11834,-0.34,0,0.00
11849,-0.34,0,0.00
11863,-0.34,0,0.00
11876,-0.34,0,0.00
11889,-0.34,0,0.00
11903,-0.33,0,0.00
11916,-0.34,0,0.00
11929,-0.33,0,0.00
11942,-0.34,0,0.00
11957,-0.33,0,0.00
11971,-0.33,0,0.00
11985,-0.33,0,0.00
11998,-0.33,0,0.00
12015,-0.34,0,0.00
12029,-0.34,0,0.00
12043,-0.34,0,0.00
12056,-0.34,0,0.00
12071,-0.34,0,0.00
12085,-0.34,0,0.00
12098,-0.34,0,0.00
12111,-0.34,0,0.00
12124,-0.34,0,0.00
12138,-0.34,0,0.00
12152,-0.34,0,0.00
12166,-0.34,0,0.00
12180,-0.34,0,0.00
12194,-0.34,0,0.00
12208,-0.34,0,0.00
12222,-0.34,0,0.00
12235,-0.34,0,0.00
12250,-0.33,0,0.00
12264,-0.34,0,0.00
12278,-0.34,0,0.00
12291,-0.34,0,0.00
12304,-0.33,0,0.00
12317,-0.33,0,0.00
12330,-0.33,0,0.00
12343,-0.34,0,0.00
12357,-0.34,0,0.00
12372,-0.34,0,0.00
12385,-0.34,0,0.00
12398,-0.34,0,0.00
12411,-0.34,0,0.00
12424,-0.34,0,0.00
12438,-0.34,0,0.00
12451,-0.34,0,0.00
12462,-0.34,0,0.00
12472,-0.34,0,0.00
12482,-0.34,0,0.00
12492,-0.34,0,0.00
12502,-0.34,0,0.00
12512,-0.34,0,0.00
12522,-0.34,0,0.00
12534,-0.34,0,0.00
12548,-0.34,0,0.00
12561,-0.34,0,0.00
12575,-0.34,0,0.00
12588,-0.34,0,0.00
12602,-0.34,0,0.00
12615,-0.34,0,0.00
12628,-0.34,0,0.00
12641,-0.34,0,0.00
12654,-0.34,0,0.00
12668,-0.34,0,0.00
12681,-0.34,0,0.00
12694,-0.34,0,0.00
12708,-0.34,0,0.00
12722,-0.34,0,0.00
12735,-0.33,0,0.00
12748,-0.34,0,0.00
12762,-0.34,0,0.00
