17:13:25.349 Connecting to CUBESAT-ESP32 ...
17:13:31.958 Connection failed: read failed, socket might closed or timeout, read ret: -1
17:13:32.967 Connecting to CUBESAT-ESP32 ...
17:13:34.306 Connected
17:13:34.319 [CUBESAT]: Time: 9664 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:34.324 [CUBESAT]: Time: 9584 | Angle -0.35° | Setpoint: 0 | Dc= 0.00
17:13:34.325 [CUBESAT]: Time: 9597 | Angle -0.35° | Setpoint: 0 | Dc= 0.00
17:13:34.326 [CUBESAT]: Time: 9608 | Angle -0.35° | Setpoint: 0 | Dc= 0.00
17:13:34.327 [CUBESAT]: Time: 9619 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:34.329 [CUBESAT]: Time: 9630 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:34.333 [CUBESAT]: Time: 9641 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:34.386 [CUBESAT]: Time: 9652 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:34.398 [CUBESAT]: Time: 9679 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:34.398 [CUBESAT]: Time: 9697 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:34.400 [CUBESAT]: Time: 9710 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:34.490 [CUBESAT]: Time: 9723 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:34.491 [CUBESAT]: Time: 9735 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:34.562 [CUBESAT]: Time: 9748 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:34.564 [CUBESAT]: Time: 9760 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:34.564 [CUBESAT]: Time: 9770 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:34.564 [CUBESAT]: Time: 9780 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:34.564 [CUBESAT]: Time: 9790 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:34.564 [CUBESAT]: Time: 9800 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:34.564 [CUBESAT]: Time: 9810 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:34.564 [CUBESAT]: Time: 9820 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:34.564 [CUBESAT]: Time: 9830 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:34.565 [CUBESAT]: Time: 9844 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:34.566 [CUBESAT]: Time: 9857 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:34.567 [CUBESAT]: Time: 9869 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:34.574 [CUBESAT]: Time: 9882 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:34.576 [CUBESAT]: Time: 9893 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:34.576 [CUBESAT]: Time: 9903 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:34.576 [CUBESAT]: Time: 9913 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
