18:07:25.287 Connecting to CUBESAT-ESP32 ...
18:07:26.005 Connected
18:07:26.034 [CUBESAT]: Time: 4312 | Angle 58.75° | Setpoint: 0 | Dc= 0.00
18:07:26.036 [CUBESAT]: Time: 4288 | Angle 58.73° | Setpoint: 0 | Dc= 0.00
18:07:26.037 [CUBESAT]: Time: 4300 | Angle 58.74° | Setpoint: 0 | Dc= 0.00
18:07:26.052 [CUBESAT]: Time: 4330 | Angle 58.76° | Setpoint: 0 | Dc= 0.00
18:07:26.087 [CUBESAT]: Time: 4344 | Angle 58.77° | Setpoint: 0 | Dc= 0.00
18:07:26.087 [CUBESAT]: Time: 4357 | Angle 58.77° | Setpoint: 0 | Dc= 0.00
18:07:26.095 [CUBESAT]: Time: 4370 | Angle 58.78° | Setpoint: 0 | Dc= 0.00
18:07:26.105 [CUBESAT]: Time: 4384 | Angle 58.79° | Setpoint: 0 | Dc= 0.00
18:07:26.119 [CUBESAT]: Time: 4398 | Angle 58.80° | Setpoint: 0 | Dc= 0.00
18:07:26.154 [CUBESAT]: Time: 4412 | Angle 58.81° | Setpoint: 0 | Dc= 0.00
18:07:26.155 [CUBESAT]: Time: 4426 | Angle 58.81° | Setpoint: 0 | Dc= 0.00
18:07:26.160 [CUBESAT]: Time: 4439 | Angle 58.82° | Setpoint: 0 | Dc= 0.00
18:07:26.174 [CUBESAT]: Time: 4453 | Angle 58.83° | Setpoint: 0 | Dc= 0.00
18:07:26.189 [CUBESAT]: Time: 4467 | Angle 58.83° | Setpoint: 0 | Dc= 0.00
18:07:26.235 [CUBESAT]: Time: 4481 | Angle 58.84° | Setpoint: 0 | Dc= 0.00
18:07:26.235 [CUBESAT]: Time: 4495 | Angle 58.85° | Setpoint: 0 | Dc= 0.00
18:07:26.237 [CUBESAT]: Time: 4508 | Angle 58.86° | Setpoint: 0 | Dc= 0.00
18:07:26.283 [CUBESAT]: Time: 4521 | Angle 58.87° | Setpoint: 0 | Dc= 0.00
18:07:26.283 [CUBESAT]: Time: 4534 | Angle 58.87° | Setpoint: 0 | Dc= 0.00
18:07:26.460 [CUBESAT]: Time: 4547 | Angle 58.88° | Setpoint: 0 | Dc= 0.00
18:07:26.460 [CUBESAT]: Time: 4558 | Angle 58.89° | Setpoint: 0 | Dc= 0.00
18:07:26.462 [CUBESAT]: Time: 4572 | Angle 58.90° | Setpoint: 0 | Dc= 0.00
18:07:26.462 [CUBESAT]: Time: 4585 | Angle 58.90° | Setpoint: 0 | Dc= 0.00
18:07:26.474 [CUBESAT]: Time: 4598 | Angle 58.91° | Setpoint: 0 | Dc= 0.00
18:07:26.476 [CUBESAT]: Time: 4611 | Angle 58.92° | Setpoint: 0 | Dc= 0.00
18:07:26.478 [CUBESAT]: Time: 4624 | Angle 58.93° | Setpoint: 0 | Dc= 0.00
18:07:26.482 [CUBESAT]: Time: 4634 | Angle 58.93° | Setpoint: 0 | Dc= 0.00
18:07:26.482 [CUBESAT]: Time: 4644 | Angle 58.94° | Setpoint: 0 | Dc= 0.00
18:07:26.482 [CUBESAT]: Time: 4654 | Angle 58.95° | Setpoint: 0 | Dc= 0.00
18:07:26.482 [CUBESAT]: Time: 4664 | Angle 58.95° | Setpoint: 0 | Dc= 0.00
18:07:26.482 [CUBESAT]: Time: 4674 | Angle 58.96° | Setpoint: 0 | Dc= 0.00
18:07:26.482 [CUBESAT]: Time: 4684 | Angle 58.97° | Setpoint: 0 | Dc= 0.00
18:07:26.486 [CUBESAT]: Time: 4694 | Angle 58.97° | Setpoint: 0 | Dc= 0.00
18:07:26.486 [CUBESAT]: Time: 4704 | Angle 58.98° | Setpoint: 0 | Dc= 0.00
18:07:26.486 [CUBESAT]: Time: 4714 | Angle 58.98° | Setpoint: 0 | Dc= 0.00
18:07:26.486 [CUBESAT]: Time: 4724 | Angle 58.99° | Setpoint: 0 | Dc= 0.00
18:07:26.486 [CUBESAT]: Time: 4734 | Angle 59.00° | Setpoint: 0 | Dc= 0.00
18:07:26.486 [CUBESAT]: Time: 4744 | Angle 59.00° | Setpoint: 0 | Dc= 0.00
18:07:26.486 [CUBESAT]: Time: 4754 | Angle 59.01° | Setpoint: 0 | Dc= 0.00
18:07:26.550 [CUBESAT]: Time: 4769 | Angle 59.01° | Setpoint: 0 | Dc= 0.00
18:07:26.550 [CUBESAT]: Time: 4783 | Angle 59.02° | Setpoint: 0 | Dc= 0.00
18:07:26.550 [CUBESAT]: Time: 4796 | Angle 59.03° | Setpoint: 0 | Dc= 0.00
18:07:26.553 [CUBESAT]: Time: 4807 | Angle 59.03° | Setpoint: 0 | Dc= 0.00
18:07:26.553 [CUBESAT]: Time: 4817 | Angle 59.04° | Setpoint: 0 | Dc= 0.00
18:07:26.557 [CUBESAT]: Time: 4836 | Angle 59.05° | Setpoint: 0 | Dc= 0.00
18:07:26.637 [CUBESAT]: Time: 4851 | Angle 59.06° | Setpoint: 0 | Dc= 0.00
18:07:26.637 [CUBESAT]: Time: 4865 | Angle 59.07° | Setpoint: 0 | Dc= 0.00
18:07:26.637 [CUBESAT]: Time: 4879 | Angle 59.08° | Setpoint: 0 | Dc= 0.00
18:07:26.639 [CUBESAT]: Time: 4892 | Angle 59.09° | Setpoint: 0 | Dc= 0.00
18:07:26.640 [CUBESAT]: Time: 4905 | Angle 59.10° | Setpoint: 0 | Dc= 0.00
18:07:26.642 [CUBESAT]: Time: 4918 | Angle 59.11° | Setpoint: 0 | Dc= 0.00
18:07:26.725 [CUBESAT]: Time: 4934 | Angle 59.12° | Setpoint: 0 | Dc= 0.00
18:07:26.725 [CUBESAT]: Time: 4948 | Angle 59.12° | Setpoint: 0 | Dc= 0.00
18:07:26.726 [CUBESAT]: Time: 4961 | Angle 59.13° | Setpoint: 0 | Dc= 0.00
18:07:26.727 [CUBESAT]: Time: 4974 | Angle 59.14° | Setpoint: 0 | Dc= 0.00
18:07:26.727 [CUBESAT]: Time: 4987 | Angle 59.14° | Setpoint: 0 | Dc= 0.00
18:07:26.729 [CUBESAT]: Time: 5000 | Angle 59.15° | Setpoint: 0 | Dc= 0.00
18:07:26.736 [CUBESAT]: Time: 5013 | Angle 59.16° | Setpoint: 0 | Dc= 0.00
18:07:26.815 [CUBESAT]: Time: 5028 | Angle 59.17° | Setpoint: 0 | Dc= 0.00
18:07:26.815 [CUBESAT]: Time: 5042 | Angle 59.18° | Setpoint: 0 | Dc= 0.00
18:07:26.815 [CUBESAT]: Time: 5055 | Angle 59.19° | Setpoint: 0 | Dc= 0.00
18:07:26.817 [CUBESAT]: Time: 5068 | Angle 59.19° | Setpoint: 0 | Dc= 0.00
18:07:26.818 [CUBESAT]: Time: 5081 | Angle 59.20° | Setpoint: 0 | Dc= 0.00
18:07:26.819 [CUBESAT]: Time: 5094 | Angle 59.21° | Setpoint: 0 | Dc= 0.00
18:07:26.889 [CUBESAT]: Time: 5110 | Angle 59.22° | Setpoint: 0 | Dc= 0.00
18:07:26.890 [CUBESAT]: Time: 5124 | Angle 59.23° | Setpoint: 0 | Dc= 0.00
18:07:26.891 [CUBESAT]: Time: 5137 | Angle 59.24° | Setpoint: 0 | Dc= 0.00
18:07:26.891 [CUBESAT]: Time: 5150 | Angle 59.24° | Setpoint: 0 | Dc= 0.00
18:07:26.892 [CUBESAT]: Time: 5163 | Angle 59.25° | Setpoint: 0 | Dc= 0.00
18:07:26.897 [CUBESAT]: Time: 5176 | Angle 59.26° | Setpoint: 0 | Dc= 0.00
18:07:26.913 [CUBESAT]: Time: 5191 | Angle 59.26° | Setpoint: 0 | Dc= 0.00
18:07:26.973 [CUBESAT]: Time: 5205 | Angle 59.27° | Setpoint: 0 | Dc= 0.00
18:07:26.973 [CUBESAT]: Time: 5219 | Angle 59.28° | Setpoint: 0 | Dc= 0.00
18:07:26.974 [CUBESAT]: Time: 5232 | Angle 59.29° | Setpoint: 0 | Dc= 0.00
18:07:26.975 [CUBESAT]: Time: 5245 | Angle 59.30° | Setpoint: 0 | Dc= 0.00
18:07:26.979 [CUBESAT]: Time: 5258 | Angle 59.31° | Setpoint: 0 | Dc= 0.00
18:07:26.995 [CUBESAT]: Time: 5272 | Angle 59.31° | Setpoint: 0 | Dc= 0.00
18:07:27.059 [CUBESAT]: Time: 5286 | Angle 59.32° | Setpoint: 0 | Dc= 0.00
18:07:27.059 [CUBESAT]: Time: 5300 | Angle 59.33° | Setpoint: 0 | Dc= 0.00
18:07:27.059 [CUBESAT]: Time: 5314 | Angle 59.34° | Setpoint: 0 | Dc= 0.00
18:07:27.061 [CUBESAT]: Time: 5327 | Angle 59.35° | Setpoint: 0 | Dc= 0.00
18:07:27.063 [CUBESAT]: Time: 5341 | Angle 59.36° | Setpoint: 0 | Dc= 0.00
18:07:27.077 [CUBESAT]: Time: 5356 | Angle 59.37° | Setpoint: 0 | Dc= 0.00
18:07:27.148 [CUBESAT]: Time: 5370 | Angle 59.38° | Setpoint: 0 | Dc= 0.00
18:07:27.148 [CUBESAT]: Time: 5384 | Angle 59.38° | Setpoint: 0 | Dc= 0.00
18:07:27.149 [CUBESAT]: Time: 5397 | Angle 59.39° | Setpoint: 0 | Dc= 0.00
18:07:27.151 [CUBESAT]: Time: 5410 | Angle 59.40° | Setpoint: 0 | Dc= 0.00
18:07:27.151 [CUBESAT]: Time: 5423 | Angle 59.40° | Setpoint: 0 | Dc= 0.00
18:07:27.160 [CUBESAT]: Time: 5436 | Angle 59.41° | Setpoint: 0 | Dc= 0.00
18:07:27.173 [CUBESAT]: Time: 5451 | Angle 59.42° | Setpoint: 0 | Dc= 0.00
18:07:27.236 [CUBESAT]: Time: 5465 | Angle 59.43° | Setpoint: 0 | Dc= 0.00
18:07:27.237 [CUBESAT]: Time: 5479 | Angle 59.44° | Setpoint: 0 | Dc= 0.00
18:07:27.238 [CUBESAT]: Time: 5492 | Angle 59.45° | Setpoint: 0 | Dc= 0.00
18:07:27.238 [CUBESAT]: Time: 5505 | Angle 59.46° | Setpoint: 0 | Dc= 0.00
18:07:27.240 [CUBESAT]: Time: 5518 | Angle 59.46° | Setpoint: 0 | Dc= 0.00
18:07:27.255 [CUBESAT]: Time: 5533 | Angle 59.47° | Setpoint: 0 | Dc= 0.00
18:07:27.497 [CUBESAT]: Time: 5547 | Angle 59.48° | Setpoint: 0 | Dc= 0.00
18:07:27.518 [CUBESAT]: Time: 5561 | Angle 59.49° | Setpoint: 0 | Dc= 0.00
18:07:27.521 [CUBESAT]: Time: 5574 | Angle 59.49° | Setpoint: 0 | Dc= 0.00
18:07:27.521 [CUBESAT]: Time: 5587 | Angle 59.50° | Setpoint: 0 | Dc= 0.00
18:07:27.521 [CUBESAT]: Time: 5600 | Angle 59.51° | Setpoint: 0 | Dc= 0.00
18:07:27.521 [CUBESAT]: Time: 5613 | Angle 59.52° | Setpoint: 0 | Dc= 0.00
18:07:27.527 [CUBESAT]: Time: 5626 | Angle 59.52° | Setpoint: 0 | Dc= 0.00
18:07:27.533 [CUBESAT]: Time: 5637 | Angle 59.53° | Setpoint: 0 | Dc= 0.00
18:07:27.533 [CUBESAT]: Time: 5647 | Angle 59.54° | Setpoint: 0 | Dc= 0.00
18:07:27.533 [CUBESAT]: Time: 5657 | Angle 59.54° | Setpoint: 0 | Dc= 0.00
18:07:27.533 [CUBESAT]: Time: 5667 | Angle 59.55° | Setpoint: 0 | Dc= 0.00
18:07:27.533 [CUBESAT]: Time: 5677 | Angle 59.55° | Setpoint: 0 | Dc= 0.00
18:07:27.533 [CUBESAT]: Time: 5687 | Angle 59.56° | Setpoint: 0 | Dc= 0.00
18:07:27.535 [CUBESAT]: Time: 5697 | Angle 59.56° | Setpoint: 0 | Dc= 0.00
18:07:27.535 [CUBESAT]: Time: 5707 | Angle 59.57° | Setpoint: 0 | Dc= 0.00
18:07:27.535 [CUBESAT]: Time: 5717 | Angle 59.58° | Setpoint: 0 | Dc= 0.00
18:07:27.535 [CUBESAT]: Time: 5727 | Angle 59.58° | Setpoint: 0 | Dc= 0.00
18:07:27.535 [CUBESAT]: Time: 5737 | Angle 59.59° | Setpoint: 0 | Dc= 0.00
18:07:27.539 [CUBESAT]: Time: 5747 | Angle 59.59° | Setpoint: 0 | Dc= 0.00
18:07:27.539 [CUBESAT]: Time: 5757 | Angle 59.60° | Setpoint: 0 | Dc= 0.00
18:07:27.539 [CUBESAT]: Time: 5767 | Angle 59.61° | Setpoint: 0 | Dc= 0.00
18:07:27.539 [CUBESAT]: Time: 5777 | Angle 59.61° | Setpoint: 0 | Dc= 0.00
18:07:27.539 [CUBESAT]: Time: 5787 | Angle 59.62° | Setpoint: 0 | Dc= 0.00
18:07:27.541 [CUBESAT]: Time: 5797 | Angle 59.62° | Setpoint: 0 | Dc= 0.00
18:07:27.544 [CUBESAT]: Time: 5821 | Angle 59.64° | Setpoint: 0 | Dc= 0.00
18:07:27.568 [CUBESAT]: Time: 5837 | Angle 59.65° | Setpoint: 0 | Dc= 0.00
18:07:27.600 [CUBESAT]: Time: 5850 | Angle 59.65° | Setpoint: 0 | Dc= 0.00
18:07:27.602 [CUBESAT]: Time: 5864 | Angle 59.66° | Setpoint: 0 | Dc= 0.00
18:07:27.614 [CUBESAT]: Time: 5878 | Angle 59.67° | Setpoint: 0 | Dc= 0.00
18:07:27.616 [CUBESAT]: Time: 5891 | Angle 59.67° | Setpoint: 0 | Dc= 0.00
18:07:27.669 [CUBESAT]: Time: 5904 | Angle 59.68° | Setpoint: 0 | Dc= 0.00
18:07:27.669 [CUBESAT]: Time: 5918 | Angle 59.69° | Setpoint: 0 | Dc= 0.00
18:07:27.670 [CUBESAT]: Time: 5932 | Angle 59.70° | Setpoint: 0 | Dc= 0.00
18:07:27.671 [CUBESAT]: Time: 5945 | Angle 59.71° | Setpoint: 0 | Dc= 0.00
18:07:27.684 [CUBESAT]: Time: 5958 | Angle 59.72° | Setpoint: 0 | Dc= 0.00
18:07:27.723 [CUBESAT]: Time: 5971 | Angle 59.72° | Setpoint: 0 | Dc= 0.00
18:07:27.724 [CUBESAT]: Time: 5984 | Angle 59.73° | Setpoint: 0 | Dc= 0.00
18:07:27.725 [CUBESAT]: Time: 5997 | Angle 59.74° | Setpoint: 0 | Dc= 0.00
18:07:27.732 [CUBESAT]: Time: 6010 | Angle 59.75° | Setpoint: 90 | Dc= 0.00
18:07:27.775 [CUBESAT]: Time: 6024 | Angle 59.76° | Setpoint: 90 | Dc= 0.00
18:07:27.775 [CUBESAT]: Time: 6038 | Angle 59.76° | Setpoint: 90 | Dc= 0.00
18:07:27.776 [CUBESAT]: Time: 6052 | Angle 59.77° | Setpoint: 90 | Dc= 0.00
18:07:27.786 [CUBESAT]: Time: 6065 | Angle 59.78° | Setpoint: 90 | Dc= 0.00
18:07:27.803 [CUBESAT]: Time: 6079 | Angle 59.79° | Setpoint: 90 | Dc= 0.00
18:07:27.836 [CUBESAT]: Time: 6093 | Angle 59.80° | Setpoint: 90 | Dc= 0.00
18:07:27.836 [CUBESAT]: Time: 6107 | Angle 59.80° | Setpoint: 90 | Dc= 0.00
18:07:27.843 [CUBESAT]: Time: 6121 | Angle 59.81° | Setpoint: 90 | Dc= 0.00
18:07:27.859 [CUBESAT]: Time: 6137 | Angle 59.82° | Setpoint: 90 | Dc= 0.00
18:07:27.898 [CUBESAT]: Time: 6151 | Angle 59.83° | Setpoint: 90 | Dc= 0.00
18:07:27.898 [CUBESAT]: Time: 6165 | Angle 59.84° | Setpoint: 90 | Dc= 0.00
18:07:27.902 [CUBESAT]: Time: 6180 | Angle 59.85° | Setpoint: 90 | Dc= 0.00
18:07:27.916 [CUBESAT]: Time: 6194 | Angle 59.85° | Setpoint: 90 | Dc= 0.00
18:07:27.959 [CUBESAT]: Time: 6208 | Angle 59.86° | Setpoint: 90 | Dc= 0.00
18:07:27.959 [CUBESAT]: Time: 6222 | Angle 59.87° | Setpoint: 90 | Dc= 0.00
18:07:27.960 [CUBESAT]: Time: 6236 | Angle 59.88° | Setpoint: 90 | Dc= 0.00
18:07:27.974 [CUBESAT]: Time: 6250 | Angle 59.89° | Setpoint: 90 | Dc= 0.00
18:07:28.021 [CUBESAT]: Time: 6264 | Angle 59.90° | Setpoint: 90 | Dc= 0.00
18:07:28.022 [CUBESAT]: Time: 6278 | Angle 59.91° | Setpoint: 90 | Dc= 0.00
18:07:28.023 [CUBESAT]: Time: 6292 | Angle 59.92° | Setpoint: 90 | Dc= 0.00
18:07:28.030 [CUBESAT]: Time: 6306 | Angle 59.92° | Setpoint: 90 | Dc= 0.00
18:07:28.044 [CUBESAT]: Time: 6322 | Angle 59.93° | Setpoint: 90 | Dc= 0.00
18:07:28.078 [CUBESAT]: Time: 6336 | Angle 59.94° | Setpoint: 90 | Dc= 0.00
18:07:28.079 [CUBESAT]: Time: 6350 | Angle 59.95° | Setpoint: 90 | Dc= 0.00
18:07:28.085 [CUBESAT]: Time: 6364 | Angle 59.96° | Setpoint: 90 | Dc= 0.00
18:07:28.102 [CUBESAT]: Time: 6378 | Angle 59.97° | Setpoint: 90 | Dc= 0.00
18:07:28.352 [CUBESAT]: Time: 6392 | Angle 59.97° | Setpoint: 90 | Dc= 0.00
18:07:28.383 [CUBESAT]: Time: 6406 | Angle 59.98° | Setpoint: 90 | Dc= 0.00
18:07:28.384 [CUBESAT]: Time: 6420 | Angle 59.99° | Setpoint: 90 | Dc= 0.00
18:07:28.384 [CUBESAT]: Time: 6433 | Angle 60.00° | Setpoint: 90 | Dc= 0.00
18:07:28.385 [CUBESAT]: Time: 6447 | Angle 60.01° | Setpoint: 90 | Dc= 0.00
18:07:28.386 [CUBESAT]: Time: 6460 | Angle 60.01° | Setpoint: 90 | Dc= 0.00
18:07:28.387 [CUBESAT]: Time: 6473 | Angle 60.02° | Setpoint: 90 | Dc= 0.00
18:07:28.389 [CUBESAT]: Time: 6487 | Angle 60.03° | Setpoint: 90 | Dc= 0.00
18:07:28.395 [CUBESAT]: Time: 6500 | Angle 60.04° | Setpoint: 90 | Dc= 0.00
18:07:28.400 [CUBESAT]: Time: 6511 | Angle 60.05° | Setpoint: 90 | Dc= 0.00
18:07:28.400 [CUBESAT]: Time: 6521 | Angle 60.05° | Setpoint: 90 | Dc= 0.00
18:07:28.400 [CUBESAT]: Time: 6531 | Angle 60.06° | Setpoint: 90 | Dc= 0.00
18:07:28.400 [CUBESAT]: Time: 6541 | Angle 60.06° | Setpoint: 90 | Dc= 0.00
18:07:28.400 [CUBESAT]: Time: 6551 | Angle 60.07° | Setpoint: 90 | Dc= 0.00
18:07:28.400 [CUBESAT]: Time: 6561 | Angle 60.07° | Setpoint: 90 | Dc= 0.00
