18:11:46.463 [CUBESAT]: Time: 10318 | Angle -8434.44° | Setpoint: -90 | Dc= 0.00
18:11:46.467 [CUBESAT]: Time: 10332 | Angle -8434.44° | Setpoint: -90 | Dc= 0.00
18:11:46.470 [CUBESAT]: Time: 10347 | Angle -8434.44° | Setpoint: -90 | Dc= 0.00
18:11:46.603 [CUBESAT]: Time: 10360 | Angle -8434.44° | Setpoint: -90 | Dc= 0.00
18:11:46.605 [CUBESAT]: Time: 10373 | Angle -8434.45° | Setpoint: -90 | Dc= 0.00
18:11:46.605 [CUBESAT]: Time: 10386 | Angle -8434.45° | Setpoint: -90 | Dc= 0.00
18:11:46.605 [CUBESAT]: Time: 10401 | Angle -8434.45° | Setpoint: -90 | Dc= 0.00
18:11:46.606 [CUBESAT]: Time: 10416 | Angle -8434.45° | Setpoint: -90 | Dc= 0.00
18:11:46.804 [CUBESAT]: Time: 10431 | Angle -8434.46° | Setpoint: -90 | Dc= 0.00
18:11:46.811 [CUBESAT]: Time: 10442 | Angle -8434.46° | Setpoint: -90 | Dc= 0.00
18:11:46.811 [CUBESAT]: Time: 10452 | Angle -8434.46° | Setpoint: -90 | Dc= 0.00
18:11:46.811 [CUBESAT]: Time: 10462 | Angle -8434.46° | Setpoint: -90 | Dc= 0.00
18:11:46.811 [CUBESAT]: Time: 10472 | Angle -8434.46° | Setpoint: -90 | Dc= 0.00
18:11:46.811 [CUBESAT]: Time: 10482 | Angle -8434.46° | Setpoint: -90 | Dc= 0.00
18:11:46.814 [CUBESAT]: Time: 10492 | Angle -8434.46° | Setpoint: -90 | Dc= 0.00
18:11:46.814 [CUBESAT]: Time: 10502 | Angle -8434.46° | Setpoint: -90 | Dc= 0.00
18:11:46.814 [CUBESAT]: Time: 10512 | Angle -8434.46° | Setpoint: -90 | Dc= 0.00
18:11:46.814 [CUBESAT]: Time: 10522 | Angle -8434.46° | Setpoint: -90 | Dc= 0.00
18:11:46.814 [CUBESAT]: Time: 10532 | Angle -8434.46° | Setpoint: -90 | Dc= 0.00
