Time,Angle,Setpoint,Dc
4312,58.75,0,0.00
4288,58.73,0,0.00
4300,58.74,0,0.00
4330,58.76,0,0.00
4344,58.77,0,0.00
4357,58.77,0,0.00
4370,58.78,0,0.00
4384,58.79,0,0.00
4398,58.80,0,0.00
4412,58.81,0,0.00
4426,58.81,0,0.00
4439,58.82,0,0.00
4453,58.83,0,0.00
4467,58.83,0,0.00
4481,58.84,0,0.00
4495,58.85,0,0.00
4508,58.86,0,0.00
4521,58.87,0,0.00
4534,58.87,0,0.00
4547,58.88,0,0.00
4558,58.89,0,0.00
4572,58.90,0,0.00
4585,58.90,0,0.00
4598,58.91,0,0.00
4611,58.92,0,0.00
4624,58.93,0,0.00
4634,58.93,0,0.00
4644,58.94,0,0.00
4654,58.95,0,0.00
4664,58.95,0,0.00
4674,58.96,0,0.00
4684,58.97,0,0.00
4694,58.97,0,0.00
4704,58.98,0,0.00
4714,58.98,0,0.00
4724,58.99,0,0.00
4734,59.00,0,0.00
4744,59.00,0,0.00
4754,59.01,0,0.00
4769,59.01,0,0.00
4783,59.02,0,0.00
4796,59.03,0,0.00
4807,59.03,0,0.00
4817,59.04,0,0.00
4836,59.05,0,0.00
4851,59.06,0,0.00
4865,59.07,0,0.00
4879,59.08,0,0.00
4892,59.09,0,0.00
4905,59.10,0,0.00
4918,59.11,0,0.00
4934,59.12,0,0.00
4948,59.12,0,0.00
4961,59.13,0,0.00
4974,59.14,0,0.00
4987,59.14,0,0.00
5000,59.15,0,0.00
5013,59.16,0,0.00
5028,59.17,0,0.00
5042,59.18,0,0.00
5055,59.19,0,0.00
5068,59.19,0,0.00
5081,59.20,0,0.00
5094,59.21,0,0.00
5110,59.22,0,0.00
5124,59.23,0,0.00
5137,59.24,0,0.00
5150,59.24,0,0.00
5163,59.25,0,0.00
5176,59.26,0,0.00
5191,59.26,0,0.00
5205,59.27,0,0.00
5219,59.28,0,0.00
5232,59.29,0,0.00
5245,59.30,0,0.00
5258,59.31,0,0.00
5272,59.31,0,0.00
5286,59.32,0,0.00
5300,59.33,0,0.00
5314,59.34,0,0.00
5327,59.35,0,0.00
5341,59.36,0,0.00
5356,59.37,0,0.00
5370,59.38,0,0.00
5384,59.38,0,0.00
5397,59.39,0,0.00
5410,59.40,0,0.00
5423,59.40,0,0.00
5436,59.41,0,0.00
5451,59.42,0,0.00
5465,59.43,0,0.00
5479,59.44,0,0.00
5492,59.45,0,0.00
5505,59.46,0,0.00
5518,59.46,0,0.00
5533,59.47,0,0.00
5547,59.48,0,0.00
5561,59.49,0,0.00
5574,59.49,0,0.00
5587,59.50,0,0.00
5600,59.51,0,0.00
5613,59.52,0,0.00
5626,59.52,0,0.00
5637,59.53,0,0.00
5647,59.54,0,0.00
5657,59.54,0,0.00
5667,59.55,0,0.00
5677,59.55,0,0.00
5687,59.56,0,0.00
5697,59.56,0,0.00
5707,59.57,0,0.00
5717,59.58,0,0.00
5727,59.58,0,0.00
5737,59.59,0,0.00
5747,59.59,0,0.00
5757,59.60,0,0.00
5767,59.61,0,0.00
5777,59.61,0,0.00
5787,59.62,0,0.00
5797,59.62,0,0.00
5821,59.64,0,0.00
5837,59.65,0,0.00
5850,59.65,0,0.00
5864,59.66,0,0.00
5878,59.67,0,0.00
5891,59.67,0,0.00
5904,59.68,0,0.00
