Time,Angle
45.805,43.02
46.114,46.93
46.430,57.98
46.720,75.65
47.015,97.07
47.326,109.79
47.644,111.84
47.933,104.53
48.268,89.37
48.539,77.70
48.846,74.48
49.143,78.73
49.441,89.19
49.722,96.32
50.053,93.81
50.349,87.12
50.640,87.55
51.727,91.28
51.731,89.94
51.732,90.14
51.842,90.11
52.193,90.14
52.437,90.13
52.725,90.13
53.090,90.13
53.330,90.14
53.643,90.15
53.931,90.14
54.239,90.14
54.532,90.14
54.856,90.12
55.136,92.87
55.437,101.73
55.734,116.30
56.030,135.82
56.354,159.57
56.648,187.02
57.026,217.78
57.237,252.35
57.556,287.95
57.840,314.90
58.147,333.41
58.442,344.30
58.768,348.08
59.041,345.48
59.348,337.42
59.635,324.18
59.944,305.82
00.258,282.08
00.546,256.34
00.930,238.61
01.148,228.53
01.454,225.46
01.900,228.46
02.107,236.42
02.365,249.26
02.722,267.07
02.966,282.74
03.264,289.17
03.568,287.27
03.857,278.01
04.189,264.56
04.529,257.95
04.774,258.62
05.073,265.30
05.686,273.98
06.217,274.04
06.219,268.33
06.260,268.54
06.558,270.54
06.872,270.13
07.158,270.14
07.523,270.08
07.800,270.11
08.088,270.15
08.361,270.11
08.667,270.13
08.965,270.13
09.263,266.38
09.568,254.34
09.865,233.99
10.192,204.97
10.518,167.80
10.779,122.71
11.098,73.45
11.379,33.64
11.670,5.99
11.991,350.05
12.286,347.88
12.576,353.24
12.874,6.31
13.175,27.09
13.469,55.92
13.779,92.25
14.172,124.49
14.425,147.09
14.688,159.27
15.067,161.19
15.273,154.15
15.589,139.17
15.886,117.18
16.277,89.62
16.510,67.73
16.809,57.09
17.079,57.55
17.385,67.28
17.683,85.34
18.007,104.36
18.297,115.28
18.598,117.91
18.886,113.42
19.191,103.13
19.648,88.30
