15:08:35.633 Connecting to CubeSat_Didatic_Plant ...
15:08:39.974 Connected
15:08:41.376 Bem Vindo a Planta Didatica CubeSat
15:08:41.377 Para inicializar o sistema, entre com algum valor qualquer
15:08:42.328 0
15:08:42.422 ************************************ 
15:08:42.422 
15:08:42.422 1. Funcionamento em Malha Aberta
15:08:42.422 2. Recalibrar o acelerometro
15:08:42.422 3. Mostrar Medicao de Tensao
15:08:42.422 4. Funcionamento em Malha Fechada
15:08:43.977 4
15:08:44.028 ************************************ 
15:08:44.030 
15:08:44.030 Controle de Apontamento do CubeSat
15:08:44.030 Para sair do controle, digite stop
15:08:44.030 Entre o angulo de referencia: 
15:08:45.779 90
15:08:45.805 Angulo Z:43.02
15:08:46.114 Angulo Z:46.93
15:08:46.430 Angulo Z:57.98
15:08:46.720 Angulo Z:75.65
15:08:47.015 Angulo Z:97.07
15:08:47.326 Angulo Z:109.79
15:08:47.644 Angulo Z:111.84
15:08:47.933 Angulo Z:104.53
15:08:48.268 Angulo Z:89.37
15:08:48.539 Angulo Z:77.70
15:08:48.846 Angulo Z:74.48
15:08:49.143 Angulo Z:78.73
15:08:49.441 Angulo Z:89.19
15:08:49.722 Angulo Z:96.32
15:08:50.053 Angulo Z:93.81
15:08:50.349 Angulo Z:87.12
15:08:50.640 Angulo Z:87.55
15:08:51.727 Angulo Z:91.28
15:08:51.731 Angulo Z:89.94
15:08:51.732 Angulo Z:90.14
15:08:51.842 Angulo Z:90.11
15:08:52.193 Angulo Z:90.14
15:08:52.437 Angulo Z:90.13
15:08:52.725 Angulo Z:90.13
15:08:53.090 Angulo Z:90.13
15:08:53.330 Angulo Z:90.14
15:08:53.643 Angulo Z:90.15
15:08:53.931 Angulo Z:90.14
15:08:54.239 Angulo Z:90.14
15:08:54.532 Angulo Z:90.14
15:08:54.847 270
15:08:54.856 Angulo Z:90.12
15:08:55.136 Angulo Z:92.87
15:08:55.437 Angulo Z:101.73
15:08:55.734 Angulo Z:116.30
15:08:56.030 Angulo Z:135.82
15:08:56.354 Angulo Z:159.57
15:08:56.648 Angulo Z:187.02
15:08:57.026 Angulo Z:217.78
15:08:57.237 Angulo Z:252.35
15:08:57.556 Angulo Z:287.95
15:08:57.840 Angulo Z:314.90
15:08:58.147 Angulo Z:333.41
15:08:58.442 Angulo Z:344.30
15:08:58.768 Angulo Z:348.08
15:08:59.041 Angulo Z:345.48
15:08:59.348 Angulo Z:337.42
15:08:59.635 Angulo Z:324.18
15:08:59.944 Angulo Z:305.82
15:09:00.258 Angulo Z:282.08
15:09:00.546 Angulo Z:256.34
15:09:00.930 Angulo Z:238.61
15:09:01.148 Angulo Z:228.53
15:09:01.454 Angulo Z:225.46
15:09:01.900 Angulo Z:228.46
15:09:02.107 Angulo Z:236.42
15:09:02.365 Angulo Z:249.26
15:09:02.722 Angulo Z:267.07
15:09:02.966 Angulo Z:282.74
15:09:03.264 Angulo Z:289.17
15:09:03.568 Angulo Z:287.27
15:09:03.857 Angulo Z:278.01
15:09:04.189 Angulo Z:264.56
15:09:04.529 Angulo Z:257.95
15:09:04.774 Angulo Z:258.62
15:09:05.073 Angulo Z:265.30
15:09:05.686 Angulo Z:273.98
15:09:06.217 Angulo Z:274.04
15:09:06.219 Angulo Z:268.33
15:09:06.260 Angulo Z:268.54
15:09:06.558 Angulo Z:270.54
15:09:06.872 Angulo Z:270.13
15:09:07.158 Angulo Z:270.14
15:09:07.523 Angulo Z:270.08
15:09:07.800 Angulo Z:270.11
15:09:08.088 Angulo Z:270.15
15:09:08.361 Angulo Z:270.11
15:09:08.667 Angulo Z:270.13
15:09:08.940 90
15:09:08.965 Angulo Z:270.13
15:09:09.263 Angulo Z:266.38
15:09:09.568 Angulo Z:254.34
15:09:09.865 Angulo Z:233.99
15:09:10.192 Angulo Z:204.97
15:09:10.518 Angulo Z:167.80
15:09:10.779 Angulo Z:122.71
15:09:11.098 Angulo Z:73.45
15:09:11.379 Angulo Z:33.64
15:09:11.670 Angulo Z:5.99
15:09:11.991 Angulo Z:350.05
15:09:12.286 Angulo Z:347.88
15:09:12.576 Angulo Z:353.24
15:09:12.874 Angulo Z:6.31
15:09:13.175 Angulo Z:27.09
15:09:13.469 Angulo Z:55.92
15:09:13.779 Angulo Z:92.25
15:09:14.172 Angulo Z:124.49
15:09:14.425 Angulo Z:147.09
15:09:14.688 Angulo Z:159.27
15:09:15.067 Angulo Z:161.19
15:09:15.273 Angulo Z:154.15
15:09:15.589 Angulo Z:139.17
15:09:15.886 Angulo Z:117.18
15:09:16.277 Angulo Z:89.62
15:09:16.510 Angulo Z:67.73
15:09:16.809 Angulo Z:57.09
15:09:17.079 Angulo Z:57.55
15:09:17.385 Angulo Z:67.28
15:09:17.683 Angulo Z:85.34
15:09:18.007 Angulo Z:104.36
15:09:18.297 Angulo Z:115.28
15:09:18.598 Angulo Z:117.91
15:09:18.886 Angulo Z:113.42
15:09:19.191 Angulo Z:103.13
15:09:19.648 Angulo Z:88.30
15:09:19.782 Angu
